Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C1,IBk,3,12836,1298,692,10134,712,0.652261306533,0.645771144279,0.798575315736,0.584217865366,0.525373134328,1750165.000000000000,350033.000000000000,350249.000000000000,1715,1056,2010
C2,RandomForest,3,12836,1348,490,10336,662,0.733405875952,0.670646766169,0.940985700539,0.647961792744,0.673631840796,1750165.000000000000,350033.000000000000,350041.000000000000,2853,1354,2010
C2,NaiveBayes,3,12836,672,539,10287,1338,0.554913294798,0.334328358209,0.794394667159,0.339488486516,0.207960199005,1750165.000000000000,350033.000000000000,350396.000000000000,883,418,2010
C2,IBk,3,12836,1320,556,10270,690,0.703624733475,0.656716417910,0.902859363813,0.622249237916,0.629850746269,1750165.000000000000,350033.000000000000,350242.000000000000,2098,1266,2010
C3,RandomForest,3,12836,1594,442,10384,416,0.782907662083,0.793034825871,0.963367602225,0.748266183823,0.687064676617,1750165.000000000000,350033.000000000000,350187.000000000000,3543,1381,2010
C3,NaiveBayes,3,12836,802,774,10052,1208,0.508883248731,0.399004975124,0.805799218392,0.359079180386,0.209950248756,1750165.000000000000,350033.000000000000,350091.000000000000,1043,422,2010
C3,IBk,3,12836,1447,963,9863,563,0.600414937759,0.719900497512,0.822835733580,0.583655295607,0.559203980100,1750165.000000000000,350033.000000000000,350102.000000000000,2021,1124,2010
C4,RandomForest,3,12836,1530,703,10123,480,0.685176892073,0.761194029851,0.942469460383,0.666164861970,0.678606965174,1750165.000000000000,350033.000000000000,350328.000000000000,3101,1364,2010
C4,NaiveBayes,3,12836,766,682,10144,1244,0.529005524862,0.381094527363,0.795568297438,0.358964316897,0.269651741294,1750165.000000000000,350033.000000000000,350171.000000000000,1261,542,2010
C4,IBk,3,12836,1522,769,10057,488,0.664338716718,0.757213930348,0.909589407480,0.649225693672,0.644776119403,1750165.000000000000,350033.000000000000,350330.000000000000,2246,1296,2010
C1,RandomForest,4,12836,1455,274,10552,555,0.841526894158,0.723880597015,0.960911289663,0.740735669303,0.687562189055,1750165.000000000000,350033.000000000000,350572.000000000000,3178,1382,2010
C1,NaiveBayes,4,12836,748,696,10130,1262,0.518005540166,0.372139303483,0.805442857760,0.347717236329,0.198507462687,1750165.000000000000,350033.000000000000,350244.000000000000,938,399,2010
C1,IBk,4,12836,1311,669,10157,699,0.662121212121,0.652238805970,0.806799688974,0.594053269786,0.533830845771,1750165.000000000000,350033.000000000000,350190.000000000000,1713,1073,2010
C2,RandomForest,4,12836,1345,486,10340,665,0.734571272529,0.669154228856,0.941386844642,0.647749859951,0.671144278607,1750165.000000000000,350033.000000000000,350167.000000000000,2846,1349,2010
C2,NaiveBayes,4,12836,687,562,10264,1323,0.550040032026,0.341791044776,0.788871617343,0.342709993365,0.209452736318,1750165.000000000000,350033.000000000000,350181.000000000000,927,421,2010
C2,IBk,4,12836,1314,544,10282,696,0.707212055974,0.653731343284,0.902959684305,0.622653962657,0.631840796020,1750165.000000000000,350033.000000000000,350374.000000000000,2107,1270,2010
C3,RandomForest,4,12836,1585,427,10399,425,0.787773359841,0.788557213930,0.963417624606,0.748811754803,0.690049751244,1750165.000000000000,350033.000000000000,350231.000000000000,3517,1387,2010
C3,NaiveBayes,4,12836,801,776,10050,1209,0.507926442613,0.398507462687,0.806266836885,0.358251598511,0.212437810945,1750165.000000000000,350033.000000000000,350488.000000000000,1049,427,2010
C3,IBk,4,12836,1447,922,9904,563,0.610806247362,0.719900497512,0.825632276453,0.591704604243,0.562686567164,1750165.000000000000,350033.000000000000,350529.000000000000,1988,1131,2010
C4,RandomForest,4,12836,1510,645,10181,500,0.700696055684,0.751243781095,0.942903600417,0.671928558864,0.678606965174,1750165.000000000000,350033.000000000000,350259.000000000000,3101,1364,2010
C4,NaiveBayes,4,12836,768,717,10109,1242,0.517171717172,0.382089552239,0.789730890164,0.353449387691,0.269651741294,1750165.000000000000,350033.000000000000,350238.000000000000,1327,542,2010
C4,IBk,4,12836,1534,736,10090,476,0.675770925110,0.763184079602,0.909164504468,0.660416461119,0.643781094527,1750165.000000000000,350033.000000000000,350362.000000000000,2241,1294,2010
C1,RandomForest,5,12836,1447,275,10551,563,0.840301974448,0.719900497512,0.959496623662,0.737526326505,0.692039800995,1750165.000000000000,350033.000000000000,350696.000000000000,3134,1391,2010
C1,NaiveBayes,5,12836,753,692,10134,1257,0.521107266436,0.374626865672,0.805401406049,0.350863997127,0.199004975124,1750165.000000000000,350033.000000000000,350588.000000000000,933,400,2010
C1,IBk,5,12836,1285,671,10155,725,0.656952965235,0.639303482587,0.800477590801,0.583708155122,0.523383084577,1750165.000000000000,350033.000000000000,350709.000000000000,1694,1052,2010
C2,RandomForest,5,12836,1346,500,10326,664,0.729144095341,0.669651741294,0.942401262669,0.644890981506,0.669154228856,1750165.000000000000,350033.000000000000,350164.000000000000,2867,1345,2010
C2,NaiveBayes,5,12836,693,562,10264,1317,0.552191235060,0.344776119403,0.791415359927,0.345742292572,0.212935323383,1750165.000000000000,350033.000000000000,350199.000000000000,932,428,2010
C2,IBk,5,12836,1316,567,10259,694,0.698884758364,0.654726368159,0.902743648284,0.618258089312,0.629850746269,1750165.000000000000,350033.000000000000,350691.000000000000,2120,1266,2010
C3,RandomForest,5,12836,1599,438,10388,411,0.784977908689,0.795522388060,0.962721424284,0.750956932944,0.693034825871,1750165.000000000000,350033.000000000000,350225.000000000000,3456,1393,2010
C3,NaiveBayes,5,12836,801,771,10055,1209,0.509541984733,0.398507462687,0.806379611273,0.359156604414,0.211442786070,1750165.000000000000,350033.000000000000,350470.000000000000,1043,425,2010
C3,IBk,5,12836,1449,936,9890,561,0.607547169811,0.720895522388,0.826722176114,0.589645098547,0.561194029851,1750165.000000000000,350033.000000000000,350066.000000000000,1998,1128,2010
C4,RandomForest,5,12836,1547,684,10142,463,0.693411026446,0.769651741294,0.940479709342,0.676198319131,0.674129353234,1750165.000000000000,350033.000000000000,350388.000000000000,3099,1355,2010
C4,NaiveBayes,5,12836,783,719,10107,1227,0.521304926764,0.389552238806,0.792679637100,0.360205391159,0.265174129353,1750165.000000000000,350033.000000000000,350211.000000000000,1252,533,2010
C4,IBk,5,12836,1535,769,10057,475,0.666232638889,0.763681592040,0.909808154866,0.653716230576,0.644278606965,1750165.000000000000,350033.000000000000,350079.000000000000,2266,1295,2010
C1,RandomForest,6,12836,1453,272,10554,557,0.842318840580,0.722885572139,0.960497392954,0.740512719969,0.689054726368,1750165.000000000000,350033.000000000000,350062.000000000000,3204,1385,2010
C1,NaiveBayes,6,12836,747,694,10132,1263,0.518390006940,0.371641791045,0.805320088087,0.347602558639,0.198507462687,1750165.000000000000,350033.000000000000,350135.000000000000,934,399,2010
C1,IBk,6,12836,1307,662,10164,703,0.663788725241,0.650248756219,0.802506174099,0.594033364579,0.532835820896,1750165.000000000000,350033.000000000000,350097.000000000000,1702,1071,2010
C2,RandomForest,6,12836,1353,465,10361,657,0.744224422442,0.673134328358,0.942613576308,0.655684126996,0.676616915423,1750165.000000000000,350033.000000000000,350450.000000000000,2943,1360,2010
C2,NaiveBayes,6,12836,686,545,10281,1324,0.557270511779,0.341293532338,0.794753394491,0.345467540101,0.206965174129,1750165.000000000000,350033.000000000000,350275.000000000000,887,416,2010
C2,IBk,6,12836,1294,562,10264,716,0.697198275862,0.643781094527,0.892543103805,0.610927495044,0.614925373134,1750165.000000000000,350033.000000000000,350600.000000000000,2042,1236,2010
C3,RandomForest,6,12836,1589,440,10386,421,0.783144406111,0.790547263682,0.962486316800,0.747029162958,0.690049751244,1750165.000000000000,350033.000000000000,350104.000000000000,3563,1387,2010
