IssueKey,FixCommitId,Status,EvidenceRows,FixedFiles,BugIntroducingCommits,BlamedLines,SameIssueFixRowsSkipped,SameIssueFixBlamedLinesSkipped
"OPENJPA-1230","c1ac969c7d951967f1faa772c65bcfa34918326e",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1230","cbfd6b88dd152206de1c972f82600c001354a495",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1232","3b327b5fbb3fe45f6f691d738b16fa567d345541",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1239","5b68196cf1b235977c9134fe57f5ef694f8eafa1",EVIDENCE,1,1,1,3,0,0
"OPENJPA-1242","a488a122cf639eb23b37ba23670758ce6b2eef40",EVIDENCE,3,2,2,5,0,0
"OPENJPA-1248","110cb20e798f6c6eb2211b973ff23826604daf84",EVIDENCE,3,1,3,14,0,0
"OPENJPA-1248","363f7f6e3f16bf0693fce192683685894946e252",EVIDENCE,3,1,3,8,0,0
"OPENJPA-1248","ab18db113b1fcdef7db9e96d8dcd6728cda576d8",EVIDENCE,3,1,3,5,0,0
"OPENJPA-1248","c6459391c8a8668cfc0ecd7ba7de95f7b0f956bd",EVIDENCE,2,1,2,2,0,0
"OPENJPA-1248","e5d2bd435f0c0fe502ed21a7df97672406d225c9",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1250","c35c13497b03903fe2aef6a5f96e37a9642a627d",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1253","067a6f0ffb8d51201614adace89568473ad4147c",EVIDENCE,7,4,6,66,1,3
"OPENJPA-1253","19da9769b0b11017a169f84125813ecae51a3458",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1253","5c23058b0ea70d802a55cdb3f94722138d75910b",EVIDENCE,2,1,2,3,0,0
"OPENJPA-1253","6f1b9627fe928732b637e409c95669fd0cc94746",EVIDENCE,2,1,2,5,2,25
"OPENJPA-1253","72f2cb8516ee11accbb4cda1ed7c6d8479b79ee2",EVIDENCE,5,4,3,7,0,0
"OPENJPA-1253","7d3497781c1a9660863e9eb10ada9c2ae107360e",NO_EVIDENCE,0,0,0,0,1,6
"OPENJPA-1253","8c1e1a7ea57a3ebb21757762696ef9592022c71d",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1253","9f29552e858bceac4e69e11547db9118d228461d",EVIDENCE,4,4,3,63,3,17
"OPENJPA-1253","c8d1003612cd9845c5e6df4f2c27c10d12c02dae",EVIDENCE,1,1,1,1,8,114
"OPENJPA-1253","cf7f69bbd57fe1f40f9c7341c10788a591278777",EVIDENCE,8,7,4,45,10,65
"OPENJPA-1253","ef54e75107ffb98f144f86937a292330a11fb823",EVIDENCE,3,2,3,4,4,8
"OPENJPA-1256","21d88cadc79848e5c678069478a036fbac439ddf",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1260","dac8af35b4ade56f49747380f1de3487bd164c5b",EVIDENCE,1,1,1,3,0,0
"OPENJPA-1269","78e93abb515193f3b1abd00ee9074186527fb110",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1279","69cf52f68d306838a40ffbadab9b3444be5f7f4a",EVIDENCE,1,1,1,10,0,0
"OPENJPA-1281","ac939f7b5f23e8ef73e37c8baa1b0b23c5c4edce",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1283","5d6581bf7f75ddf7c77e37a087cf6a63cc757e94",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1286","1e77f6a3e1492e289ce99b071376cdd3e90372cd",EVIDENCE,2,1,2,3,2,2
"OPENJPA-1286","701221576dc7ff77a99ea8df5c8975ac866f92c0",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1286","eb5baa42a27e626373134486869b1ab873ac82cb",EVIDENCE,5,3,5,8,1,13
"OPENJPA-1289","ed40459a2a4f9bac6e449b5697c995d465d854a2",EVIDENCE,1,1,1,1,0,0
